23,GRUIFORMES,鹤科,Gruidae (3:9),,,
291,Leucogeranus leucogeranus,白鹤,Siberian Crane,CR,一级,
292,Antigone canadensis,沙丘鹤,Sandhill Crane,LC,二级,
293,Antigone vipio,白枕鹤,White-naped Crane,VU,一级,
294,Antigone antigone,赤颈鹤,Sarus Crane,VU,一级,
295,Grus virgo,蓑羽鹤,Demoiselle Crane,LC,二级,
296,Grus japonensis,丹顶鹤,Red-crowned Crane,VU,一级,
297,Grus grus,灰鹤,Common Crane,LC,二级,
298,Grus monacha,白头鹤,Hooded Crane,VU,一级,
299,Grus nigricollis,黑颈鹤,Black-necked Crane,NT,一级,
24,CHARADRIIFORMES,三趾鹑科,Turnicidae (1:3),,,
300,Turnix sylvaticus,林三趾鹑,Common Buttonquail,LC,-,
301,Turnix tanki,黄脚三趾鹑,Yellow-legged Buttonquail,LC,-,
302,Turnix suscitator,棕三趾鹑,Barred Buttonquail,LC,-,
25,CHARADRIIFORMES,石鸻科,Burhinidae (2:2),,,
303,Burhinus oedicnemus,石鸻,Eurasian Thick-knee,LC,-,中文名由欧石鸻恢复为传统中文名石鸻
304,Esacus recurvirostris,大石鸻,Great Thick-knee,NT,二级,
26,CHARADRIIFORMES,蛎鹬科,Haematopodidae (1:1),,,
305,Haematopus ostralegus,蛎鹬,Eurasian Oystercatcher,NT,-,
27,CHARADRIIFORMES,鹮嘴鹬科,Ibidorhynchidae (1:1),,,
306,Ibidorhyncha struthersii,鹮嘴鹬,Ibisbill,LC,二级,
28,CHARADRIIFORMES,反嘴鹬科,Recurvirostridae (2:2),,,
307,Himantopus himantopus,黑翅长脚鹬,Black-winged Stilt,LC,-,
308,Recurvirostra avosetta,反嘴鹬,Pied Avocet,LC,-,
29,CHARADRIIFORMES,鸻科,Charadriidae (3:21),,,
309,Vanellus vanellus,凤头麦鸡,Northern Lapwing,NT,-,
310,Vanellus duvaucelii,距翅麦鸡,River Lapwing,NT,-,
311,Vanellus cinereus,灰头麦鸡,Grey-headed Lapwing,LC,-,
312,Vanellus indicus,肉垂麦鸡,Red-wattled Lapwing,LC,-,
313,Vanellus gregarius,黄颊麦鸡,Sociable Lapwing,CR,二级,
314,Vanellus leucurus,白尾麦鸡,White-tailed Lapwing,LC,-,
315,Pluvialis apricaria,欧金鸻,European Golden Plover,LC,-,
316,Pluvialis fulva,金斑鸻,Pacific Golden Plover,LC,-,
317,Pluvialis dominica,美洲金鸻,American Golden Plover,LC,-,
318,Pluvialis squatarola,灰斑鸻,Grey Plover,LC,-,
319,Charadrius hiaticula,剑鸻,Common Ringed Plover,LC,-,
320,Charadrius placidus,长嘴剑鸻,Long-billed Plover,LC,-,
321,Charadrius dubius,金眶鸻,Little Ringed Plover,LC,-,
322,Charadrius alexandrinus,环颈鸻,Kentish Plover,LC,-,
323,Charadrius dealbatus,白脸鸻,White-faced Plover,DD,-,
324,Charadrius mongolus,蒙古沙鸻,Siberian Sand Plover,LC,-,英文名由Lesser Sand Plover为Siberian Sand Plover
325,Charadrius atrifrons,青藏沙鸻,Tibetan Sand Plover,NR,-,将蒙古沙鸻的pamirensis、atrifrons、schaeferi亚种作为独立种青藏沙鸻Charadrius atrifrons（Wei et al. 2022）
326,Charadrius leschenaultii,铁嘴沙鸻,Greater Sand Plover,LC,-,
327,Charadrius asiaticus,红胸鸻,Caspian Plover,LC,-,
328,Charadrius veredus,东方鸻,Oriental Plover,LC,-,
329,Charadrius morinellus,小嘴鸻,Eurasian Dotterel,LC,-,
30,CHARADRIIFORMES,彩鹬科,Rostratulidae (1:1),,,
330,Rostratula benghalensis,彩鹬,Greater Painted Snipe,LC,-,
31,CHARADRIIFORMES,水雉科,Jacanidae (2:2),,,
331,Hydrophasianus chirurgus,水雉,Pheasant-tailed Jacana,LC,二级,
332,Metopidius indicus,铜翅水雉,Bronze-winged Jacana,LC,二级,
32,CHARADRIIFORMES,丘鹬科,Scolopacidae (12:51),,,
333,Numenius phaeopus,中杓鹬,Eurasian Whimbrel,LC,-,
334,Numenius minutus,小杓鹬,Little Curlew,LC,二级,
335,Numenius madagascariensis,大杓鹬,Eastern Curlew,EN,二级,
336,Numenius arquata,白腰杓鹬,Eurasian Curlew,NT,二级,
337,Limosa lapponica,斑尾塍鹬,Bar-tailed Godwit,NT,-,
338,Limosa limosa,黑尾塍鹬,Black-tailed Godwit,NT,-,
339,Arenaria interpres,翻石鹬,Ruddy Turnstone,LC,二级,
340,Calidris tenuirostris,大滨鹬,Great Knot,EN,二级,
341,Calidris canutus,红腹滨鹬,Red Knot,NT,-,
342,Calidris pugnax,流苏鹬,Ruff,LC,-,
343,Calidris falcinellus,阔嘴鹬,Broad-billed Sandpiper,LC,二级,
